"證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額",
"2880","華南金","","177,000","3,173,050","3,176,950",
"2881","富邦金","","755,000","38,364,200","38,421,600",
"2882","國泰金","","731,000","39,256,900","39,289,400",
"2883","開發金","","3,614,000","40,233,850","40,359,800",
"2884","玉山金","","1,452,000","30,295,700","30,396,950",
"2885","元大金","","2,348,000","33,351,750","33,413,650",
"2886","兆豐金","","1,080,000","28,192,250","28,292,050",
"2887","台新金","","207,000","2,980,250","2,970,950",
"2888","新光金","","12,841,000","154,594,600","155,355,250",
"2889","國票金","","38,000","390,450","392,150",
"2890","永豐金","","1,029,000","10,916,000","10,971,300",
"2891","中信金","","1,195,000","25,463,150","25,460,150",
"2892","第一金","","674,000","13,757,050","13,766,500",
"2897","王道銀行","","7,000","60,100","60,450",
"2901","欣欣","Y","1,000","25,500","25,850",
"2903","遠百","","277,000","5,297,450","5,328,300",
"2904","匯僑","","0","0","0",
"2905","三商","","6,000","145,300","144,750",
"2906","高林","","24,000","258,200","260,400",
"2908","特力","","9,000","207,750","207,550",
"2910","統領","","0","0","0",
"2911","麗嬰房","","56,000","777,700","780,350",
"2912","統一超","","60,000","17,525,500","17,537,500",
"2913","農林","","15,000","229,600","230,950",
"2915","潤泰全","","360,000","20,592,000","20,687,800",
"2929","淘帝-KY","","11,000","1,102,100","1,104,500",
"2936","客思達-KY","","0","0","0",
"3002","歐格","","0","0","0",
"3003","健和興","","15,000","761,800","763,100",
"3004","豐達科","","20,000","1,097,900","1,100,700",
"3005","神基","","25,000","1,060,200","1,059,750",
"3006","晶豪科","","333,000","12,836,700","12,893,000",
"3008","大立光","","193,000","655,355,000","657,475,000",
"3010","華立","","21,000","1,160,400","1,164,900",
"3011","今皓","","159,000","1,329,180","1,333,220",
"3013","晟銘電","","9,000","170,550","170,300",
"3014","聯陽","","27,000","943,700","943,450",
"3015","全漢","","4,000","96,350","96,650",
"3016","嘉晶","","1,343,000","48,537,950","48,602,900",
"3017","奇鋐","","483,000","12,919,800","13,023,300",
"3018","同開","","66,000","5,405,300","5,407,000",
"3019","亞光","","7,122,000","635,752,300","637,736,200",
"3021","鴻名","","14,000","219,650","220,600",
"3022","威強電","","12,000","415,150","415,850",
"3023","信邦","","37,000","2,904,500","2,909,200",
"3025","星通","Y","1,000","16,600","16,800",
"3026","禾伸堂","","6,882,000","1,011,127,000","1,010,734,000",
"3027","盛達","","2,000","19,290","19,600",
"3028","增你強","","63,000","1,399,850","1,409,900",
"3029","零壹","","41,000","805,250","808,000",
"3030","德律","","211,000","11,544,000","11,542,000",
"3031","佰鴻","","6,000","91,700","91,950",
"3032","偉訓","","0","0","0",
"3033","威健","","52,000","1,159,400","1,157,250",
"3034","聯詠","","77,000","9,537,000","9,579,500",
"3035","智原","","4,775,000","313,660,500","315,867,000",
"3036","文曄","","85,000","3,784,950","3,778,950",
"3037","欣興","","3,076,000","51,998,050","52,089,700",
"3038","全台","","0","0","0",
"3040","遠見","","4,000","238,400","239,000",
"3041","揚智","","134,000","1,772,850","1,791,850",
"3042","晶技","","6,000","214,600","214,050",
"3044","健鼎","","1,140,000","103,255,400","103,535,000",
"3045","台灣大","","841,000","92,097,500","92,495,500",
"3047","訊舟","","4,000","32,620","33,000",
"3048","益登","","6,000","100,200","101,200",
"3050","鈺德","","20,000","219,800","218,500",
"3052","夆典","","151,000","1,430,220","1,441,830",
"3054","立萬利","","2,000","39,900","39,900",
"3055","蔚華科","","87,000","2,606,350","2,610,150",
"3056","總太","","201,000","4,236,000","4,288,650",
"3058","立德","","36,000","299,150","297,190",
"3059","華晶科","","1,975,000","60,825,550","60,895,400",
"3060","銘異","","4,000","87,550","88,450",
"3062","建漢","","36,000","633,750","630,850",
"3090","日電貿","","4,585,000","332,251,000","331,941,600",
