"證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額"
"4167","展旺","","62,000","1,656,150","1,661,600"
"4173","久裕","","1,000","17,750","17,800"
"4175","杏一","","0","0","0"
"4180","安成藥","","96,000","9,428,400","9,350,000"
"4205","中華食","","0","0","0"
"4207","環泰","","6,000","84,650","84,900"
"4303","信立","","14,000","2,305,000","2,301,000"
"4305","世坤","","0","0","0"
"4401","東隆興","","3,000","190,800","191,200"
"4406","新昕纖","","0","0","0"
"4416","三圓","","0","0","0"
"4417","金洲","","2,000","68,000","68,600"
"4420","光明","","0","0","0"
"4429","聚紡","","0","0","0"
"4430","耀億","","4,000","106,100","105,150"
"4432","銘旺實","","1,000","29,900","30,650"
"4433","興采","","4,000","74,000","74,050"
"4502","健信","","1,000","73,500","72,800"
"4506","崇友","","1,000","60,200","60,500"
"4510","高鋒","","1,000","17,650","17,750"
"4513","福裕","","0","0","0"
"4523","永彰","","0","0","0"
"4527","方土霖","","0","0","0"
"4528","江興鍛","","142,000","9,721,900","9,690,900"
"4529","淳紳","","19,000","547,600","552,000"
"4533","協易機","","2,000","22,700","22,800"
"4534","慶騰","","24,000","344,950","347,800"
"4535","至興","","0","0","0"
"4541","晟田","","135,000","4,507,500","4,495,250"
"4543","萬在","","0","0","0"
"4549","桓達","","76,000","7,685,600","7,705,000"
"4550","長佳","","0","0","0"
"4556","旭然","","0","0","0"
"4706","大恭","","0","0","0"
"4707","磐亞","","86,000","1,043,800","1,041,150"
"4711","永純","","0","0","0"
"4714","永捷","","3,000","45,100","45,400"
"4716","大立","","3,000","60,600","61,500"
"4721","美琪瑪","","718,000","68,748,300","68,939,600"
"4728","雙美","","139,000","5,252,200","5,261,350"
"4735","豪展","","11,000","471,300","477,650"
"4736","泰博","","323,000","46,155,500","46,114,000"
"4745","合富-KY","","200,000","10,562,000","10,503,600"
"4747","強生","","1,000","41,300","41,600"
"4803","VHQ-KY","","1,039,000","246,360,500","245,437,000"
"4804","大略-KY","","34,000","826,100","822,350"
"4806","昇華","","134,000","5,692,850","5,523,300"
"4903","聯光通","","1,491,000","33,700,800","33,693,450"
"4905","台聯電","","0","0","0"
"4907","富宇","","47,000","1,245,500","1,250,600"
"4908","前鼎","","5,000","94,550","95,200"
"4909","新復興","","1,000","16,900","17,000"
"4933","友輝","","0","0","0"
"4939","亞電","","61,000","1,134,050","1,135,450"
"4947","昂寶-KY","","166,000","40,094,500","40,226,500"
"4953","緯軟","","1,000","34,900","35,450"
"4966","譜瑞-KY","","161,000","74,090,000","74,636,500"
"4971","IET-KY","","101,000","8,052,700","8,056,700"
"4972","湯石照明","","169,000","6,794,000","6,777,850"
"4973","廣穎","","0","0","0"
"4974","亞泰","","40,000","1,772,200","1,775,550"
"4979","華星光","","14,000","333,700","333,150"
"4991","環宇-KY","","94,000","6,253,100","6,230,800"
"4995","晶達","","0","0","0"
"5009","榮剛","","30,000","574,500","573,000"
"5011","久陽","","1,000","17,450","17,400"
"5013","強新","","0","0","0"
"5014","建錩","","11,000","142,300","143,000"
"5015","華祺","","0","0","0"
"5016","松和","","0","0","0"
"5102","富強","","0","0","0"
"5201","凱衛","","11,000","376,300","375,300"
"5206","坤悅","","0","0","0"
"5210","寶碩","","0","0","0"
"5211","蒙恬","","1,000","20,350","20,400"
"5212","凌網","","2,000","49,650","49,900"
"5213","亞昕","","5,000","93,550","93,300"
"5230","雷笛克光學","","4,000","157,000","155,300"
"5245","智晶","","4,000","296,300","295,100"
"5251","天鉞電","","2,000","40,100","40,300"
"5255","美桀","","80,000","4,138,100","4,146,900"
"5263","智崴","","3,000","689,000","688,000"
"5272","笙科","","0","0","0"
"5274","信驊","","18,000","15,233,000","15,252,000"
"5281","大峽谷-KY","","133,000","13,234,200","13,228,800"
"5287","數字","","14,000","3,574,500","3,583,500"
"5289","宜鼎","","1,568,000","212,269,000","213,033,000"
"5291","邑昇","","0","0","0"
"5299","杰力","","55,000","4,860,800","4,878,300"
"5301","寶得利","","9,000","259,750","265,100"
"5302","太欣","","185,000","1,363,690","1,355,500"
"5306","桂盟","","0","0","0"
"5310","天剛","","2,000","58,700","59,600"
"5312","寶島科","","0","0","0"
"5315","光聯","","8,000","132,700","132,200"
"5317","凱美","","1,305,000","76,399,100","76,509,700"
"5321","友銓","","129,000","3,147,600","3,147,600"
"5347","世界","","221,000","13,405,300","13,439,800"
"5349","先豐","","43,000","1,121,050","1,121,900"
"5353","台林","","8,000","112,450","112,650"
"5355","佳總","","0","0","0"
"5356","協益","","256,000","8,980,400","8,998,950"
"5371","中光電","","248,000","9,768,250","9,766,350"
"5383","金利","","4,000","51,800","52,200"
"5386","青雲","","673,000","48,714,000","48,772,100"
"5392","應華","","15,000","710,500","708,800"
"5398","慕康生醫","","21,000","678,250","671,400"
"5403","中菲","","2,000","81,750","81,800"
"5410","國眾","","28,000","492,550","490,400"
"5425","台半","","347,000","24,491,500","24,663,800"
"5426","振發","","1,000","12,900","12,950"
"5432","達威","","0","0","0"
"5438","東友","","0","0","0"
"5439","高技","","726,000","29,204,800","29,238,000"
"5443","均豪","","16,000","370,300","370,050"
"5452","佶優","","1,000","8,140","8,130"
"5457","宣德","","241,000","12,059,300","12,189,050"
"5460","同協","","2,000","23,700","24,200"
"5464","霖宏","","0","0","0"
"5465","富驊","","335,000","7,344,000","7,335,550"
"5474","聰泰","","10,000","602,200","600,700"
"5478","智冠","","128,000","11,113,000","11,126,800"
"5480","統盟","","59,000","705,250","716,250"
"5483","中美晶","","8,282,000","1,106,398,500","1,109,003,000"
"5487","通泰","","2,000","56,000","56,450"
"5488","松普","","6,000","53,710","54,550"
"5489","彩富","","0","0","0"
"5490","同亨","","49,000","1,622,600","1,646,450"
"5493","三聯","","0","0","0"
"5498","凱崴","","11,000","133,700","133,650"
"5508","永信建","","0","0","0"
"5511","德昌","","16,000","322,100","324,900"
"5512","力麒","","2,138,000","23,878,950","23,882,250"
"5514","三豐","","0","0","0"
"5516","雙喜","","4,000","43,450","43,450"
"5520","力泰","","0","0","0"
"5523","豐謙","","22,000","230,550","231,500"
"5530","龍巖","","1,000","62,800","63,200"
"5536","聖暉","","27,000","6,200,500","6,206,500"
"5603","陸海","","1,000","12,300","12,300"
"5604","中連貨","","0","0","0"
"5609","中菲行","","0","0","0"
"5703","亞都","","0","0","0"
"5704","老爺知","","0","0","0"
"5820","日盛金","","682,000","6,112,100","6,125,840"
"5903","全家","","1,000","176,000","180,000"
"5904","寶雅","","41,000","14,107,000","14,236,500"
"5905","南仁湖","","2,000","15,500","15,500"
"6015","宏遠證","","8,000","60,650","60,850"
"6016","康和證","","11,000","92,570","92,550"
"6020","大展證","","0","0","0"
"6021","大慶證","","10,000","102,100","102,550"
