代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"3081","聯亞","494,000","29,000","465,000","0","0","0","494,000","29,000","465,000","0","226,000","-226,000","15,000","0","15,000","27,000","17,000","10,000","42,000","17,000","25,000","264,000"
"3083","網龍","2,000","0","2,000","0","0","0","2,000","0","2,000","0","0","0","0","0","0","0","0","0","0","0","0","2,000"
"3088","艾訊","1,000","122,000","-121,000","0","0","0","1,000","122,000","-121,000","0","0","0","0","0","0","0","0","0","0","0","0","-121,000"
"3089","遠昇","0","0","0","0","0","0","0","0","0","0","0","0","2,000","0","2,000","0","0","0","2,000","0","2,000","2,000"
"3092","鴻碩","78,000","24,000","54,000","0","0","0","78,000","24,000","54,000","0","0","0","0","0","0","5,000","0","5,000","5,000","0","5,000","59,000"
"3093","港建","0","0","0","0","0","0","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","0","0","0","-1,000"
"3105","穩懋","2,021,670","2,098,392","-76,722","0","0","0","2,021,670","2,098,392","-76,722","50,000","36,000","14,000","20,000","3,000","17,000","47,000","12,000","35,000","67,000","15,000","52,000","-10,722"
"3114","好德","37,000","0","37,000","0","0","0","37,000","0","37,000","0","0","0","0","0","0","0","0","0","0","0","0","37,000"
"3115","寶島極","9,000","0","9,000","0","0","0","9,000","0","9,000","0","0","0","0","11,000","-11,000","0","0","0","0","11,000","-11,000","-2,000"
"3128","昇銳","0","82,000","-82,000","0","0","0","0","82,000","-82,000","0","0","0","0","0","0","0","0","0","0","0","0","-82,000"
"3131","弘塑","0","3,000","-3,000","0","0","0","0","3,000","-3,000","0","0","0","0","0","0","0","0","0","0","0","0","-3,000"
"3141","晶宏","42,000","85,000","-43,000","0","0","0","42,000","85,000","-43,000","0","10,000","-10,000","0","0","0","0","0","0","0","0","0","-53,000"
"3144","新揚科","3,000","2,000","1,000","0","0","0","3,000","2,000","1,000","0","0","0","0","0","0","0","0","0","0","0","0","1,000"
"3152","璟德","32,000","19,000","13,000","0","0","0","32,000","19,000","13,000","0","0","0","0","0","0","0","0","0","0","0","0","13,000"
"3162","精確","37,000","2,000","35,000","0","0","0","37,000","2,000","35,000","0","0","0","0","6,000","-6,000","0","0","0","0","6,000","-6,000","29,000"
"3163","波若威","5,000","1,000","4,000","0","0","0","5,000","1,000","4,000","0","0","0","0","0","0","0","0","0","0","0","0","4,000"
"3176","基亞","7,000","2,000","5,000","0","0","0","7,000","2,000","5,000","0","0","0","0","2,000","-2,000","0","0","0","0","2,000","-2,000","3,000"
"3188","鑫龍騰","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","1,000","0","1,000","2,000"
"3191","和進","3,000","0","3,000","0","0","0","3,000","0","3,000","0","0","0","3,000","3,000","0","0","0","0","3,000","3,000","0","3,000"
"3202","樺晟","7,000","13,000","-6,000","0","0","0","7,000","13,000","-6,000","0","0","0","8,000","8,000","0","0","0","0","8,000","8,000","0","-6,000"
"3205","佰研","6,000","58,000","-52,000","0","0","0","6,000","58,000","-52,000","0","0","0","0","1,000","-1,000","0","0","0","0","1,000","-1,000","-53,000"
"3211","順達","41,000","2,000","39,000","0","0","0","41,000","2,000","39,000","0","0","0","0","0","0","4,000","20,000","-16,000","4,000","20,000","-16,000","23,000"
"3213","茂訊","0","7,000","-7,000","0","0","0","0","7,000","-7,000","0","0","0","0","0","0","0","0","0","0","0","0","-7,000"
"3217","優群","108,000","143,000","-35,000","0","0","0","108,000","143,000","-35,000","0","0","0","3,000","0","3,000","1,000","6,000","-5,000","4,000","6,000","-2,000","-37,000"
"3218","大學光","12,000","0","12,000","0","0","0","12,000","0","12,000","0","0","0","0","0","0","0","0","0","0","0","0","12,000"
