"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="076469","和桐元富84購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","10,000","40,000","-30,000","-30,000",
="076473","瑞軒元富84購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="076546","新唐玉山7A購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="075966","乙盛凱基79購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="076032","南亞科富邦79購06","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="07478P","聯茂康和7A售01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="074627","矽格康和79購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="075676","鴻海元大79購04","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","200,000","230,000","-30,000","-30,000",
="075746","達邁凱基79購03","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="075944","亞光元大7A購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="075457","臺股指中信7A購11","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="07005P","台積電兆豐7A售02","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","10,000","40,000","-30,000","-30,000",
="069987","創意永豐76購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","10,000","40,000","-30,000","-30,000",
="070301","緯創群益76購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="070314","達運元大76購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="070331","創意元富76購03","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","120,000","150,000","-30,000","-30,000",
="069482","全新元大77購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="07103P","南亞科群益79售07","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="068669","東聯國泰75購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","15,000","45,000","-30,000","-30,000",
="063662","鴻海永昌77購04","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="069010","京鼎國泰77購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="069061","宏�眥禤�75購03","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="069050","中租兆豐75購02","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="068998","正文凱基75購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="068345","儒鴻統一76購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","10,000","40,000","-30,000","-30,000",
="05865P","大同元大75售04","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="05888P","GIS中信76售02","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","66,000","96,000","-30,000","-30,000",
="00716R","華頓S&P布蘭特反1","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","240,000","270,000","-30,000","-30,000",
="066726","南亞科富邦76購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="068858","中租元富75購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="068960","南亞科國泰75購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","15,000","45,000","-30,000","-30,000",
="066256","南亞科兆豐75購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="065172","樺漢凱基76購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","205,000","235,000","-30,000","-30,000",
="06524P","華新科兆豐77售03","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="065360","國泰金富邦76購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","9,000","39,000","-30,000","-30,000",
="067482","中石化兆豐75購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
