證券商代號,證券商名稱
983i,元大寶來-大雅民興
983j,元大寶來-仁愛
983J,元大寶來-新竹東門
983K,元大寶來-學甲
983M,元大寶來-木柵
983N,元大寶來-大安
983U,元大寶來-頭份
983V,元大寶來-竹南
983W,元大寶來-大里德芳
983Z,元大寶來-鳳山
9843,元大寶來-東高雄
984B,元大寶來-松南
984C,元大寶來-新店中正
984E,元大寶來-南勢角
984H,元大寶來-景美
984K,元大寶來-館前
984U,元大寶來-延平
9851,元大寶來-明誠
9852,元大寶來-大松山
9853,元大寶來-南屯
9854,元大寶來-台中文心
9855,元大寶來-大嘉義
9856,元大寶來-花蓮中山
9857,元大寶來-東蘆
9858,元大寶來-龍潭
9859,元大寶來-新竹經國
985A,元大寶來-豐原
985B,元大寶來-長安
985C,元大寶來-鳳中
985D,元大寶來-文山
9861,元大寶來-三民
9862,元大寶來-南京
9863,元大寶來-新和平
9864,元大寶來-內科
9865,元大寶來-長榮
9866,元大寶來-樹板
9867,元大寶來-北成功
9868,元大寶來-水湳
9869,元大寶來-新盛
986A,元大寶來-高雄七賢
986J,元大寶來-中山
986K,元大寶來-基隆孝二
9871,元大寶來-忠孝
9872,元大寶來-復北
9873,元大寶來-西門
9874,元大寶來-雙和
9875,元大寶來-土城永寧
9876,元大寶來-高雄前金
9877,元大寶來-金天母
9878,元大寶來-赤崁
9879,元大寶來-板橋三民
987A,元大寶來-楊梅
987C,元大寶來-森竹科
987D,元大寶來-新壢
9881,元大寶來-敦安
9882,元大寶來-興東
9883,元大寶來-頭份中華
9884,元大寶來-鎮北
9885,元大寶來-世貿
9886,元大寶來-南昌
9887,元大經紀
9888,元大寶來-鑫永和
9889,元大寶來-北員林
988B,元大寶來-藝文
988C,元大寶來-三重
988D,元大寶來-新板
9891,元大寶來-永和
9892,元大寶來-東屏東
9893,元大寶來-大天母
9894,元大寶來-北桃園
9895,元大寶來-城中
9896,元大寶來-台南
9897,元大寶來-土城
9898,元大寶來-新莊
9899,元大寶來-淡水
989A,元大寶來-北投
989a,元大寶來-苑裡
989B,元大寶來-台中中港
989b,元大寶來-屏東
989C,元大寶來-板橋
989D,元大寶來-左營
989d,元大寶來-北屯
989E,元大寶來-草屯
989e,元大寶來-中和
989f,元大寶來-東港
989F,元大寶來-高雄
989G,元大寶來-大同
989g,元大寶來-嘉義
989I,元大寶來-蘆洲
989i,元大寶來-西湖
989J,元大寶來-彰化民生
989j,元大寶來-樹林
989k,元大寶來-古亭
989K,元大寶來-忠孝延吉
989L,元大寶來-成功
989m,元大寶來-信義
989N,元大寶來-內湖
989P,元大寶來-敦南
989Q,元大寶來-汐止
989R,元大寶來-新竹北門
989S,元大寶來-鹿港
989U,元大寶來-大甲
989V,元大寶來-北三重
989W,元大寶來-豐原站前
989X,元大寶來-民生
989Y,元大寶來-基隆
989Z,元大寶來-小港
9A00,永豐金
9A61,永豐金-鳳山
9A68,永豐金-五權
9A69,永豐金-屏東
9A6A,永豐金-赤崁
9A6B,永豐金-嘉南
9A6J,永豐金-中山
9A8F,永豐金-敦南
9A91,永豐金-松山
9A92,永豐金-萬盛
9A93,永豐金-大稻埕
9A96,永豐金-博愛
9A97,永豐金-新竹
9A98,永豐金-大園
9A99,永豐金-中壢
9A9A,永豐金-羅東
9A9a,永豐金-苓雅
9A9B,永豐金-中和
9A9b,永豐金-虎尾
9A9C,永豐金-員林
9A9c,永豐金-永康
9A9D,永豐金-忠孝
9A9d,永豐金-古亭
9A9E,永豐金-板橋
9A9e,永豐金-高雄
9A9F,永豐金-安和
9A9f,永豐金-中盛
9A9G,永豐金-天母
9A9g,永豐金-內湖
9A9H,永豐金-新莊
9A9h,永豐金-台南
9A9i,永豐金-新店
9A9J,永豐金-板新
9A9j,永豐金-嘉義
9A9K,永豐金-三重
9A9k,永豐金-桃中
9A9L,永豐金-台中
9A9M,永豐金-南投
9A9m,永豐金-板南
9A9N,永豐金-桃盛
9A9n,永豐金-民權
9A9P,永豐金-竹北
9A9p,永豐金-府城
9A9Q,永豐金-豐原
9A9q,永豐金-潮州
9A9R,永豐金-信義
9A9r,永豐金-鹽埕
9A9S,永豐金-南京
9A9s,永豐金-彰化
9A9U,永豐金-中正
9A9V,永豐金-三民
9A9v,永豐金-光復
9A9W,永豐金-南台中
9A9X,永豐金-竹科
9A9x,永豐金-桃園
9A9Y,永豐金-板盛
9A9y,永豐金-新興
9A9Z,永豐金-復興
9A9z,永豐金-大安
