代號,名稱,前資餘額(張),資買,資賣,現償,資餘額,資屬證金,資使用率(%),資限額,前券餘額(張),券賣,券買,券償,券餘額,券屬證金,券使用率(%),券限額,資券相抵(張),備註
"8403","盛弘","4,100","60","67","0","4,093","215","17.64","23,199","15","2","0","0","17","0","0.07","23,199","1",""
"8406","金可-KY","4,683","138","117","1","4,703","385","20.34","23,112","40","3","5","0","38","3","0.16","23,112","1",""
"8410","森田","1,859","0","9","0","1,850","0","20.22","9,147","0","0","0","0","0","0","0.0","9,147","0",""
"8415","大國鋼","2,000","15","19","0","1,996","32","1.3","152,875","15","1","0","0","16","0","0.01","152,875","0",""
"8418","捷必勝-KY","745","0","10","0","735","4","4.32","16,998","0","0","0","0","0","0","0.0","16,998","0","11C"
"8420","明揚","453","0","2","0","451","87","3.53","12,747","0","0","0","0","0","0","0.0","12,747","0","11C"
"8421","旭源","2,919","1","2","0","2,918","2","21.82","13,370","0","0","0","0","0","0","0.0","13,370","0",""
"8424","惠普","80","1","2","0","79","0","0.87","9,013","0","0","0","0","0","0","0.0","9,013","0","11C"
"8426","紅木-KY","417","0","0","0","417","23","3.32","12,560","0","0","0","0","0","0","0.0","12,560","0",""
"8431","匯鑽科","6,799","136","57","184","6,694","128","60.5","11,064","567","35","29","0","573","5","5.17","11,064","2",""
"8432","東生華","3,044","70","77","0","3,037","26","31.63","9,599","26","5","8","0","23","1","0.23","9,599","6",""
"8433","弘帆","980","0","0","0","980","169","7.45","13,144","0","0","0","0","0","0","0.0","13,144","0",""
"8435","鉅邁","99","0","0","0","99","0","1.24","7,925","0","0","0","0","0","0","0.0","7,925","0",""
"8436","大江","1,732","74","51","0","1,755","18","8.71","20,141","131","9","11","0","129","1","0.64","20,141","0",""
"8437","大地-KY","249","43","15","0","277","1","3.06","9,032","2","0","0","0","2","0","0.02","9,032","0",""
"8444","綠河-KY","155","3","3","0","155","0","0.82","18,692","1","0","0","0","1","0","0.0","18,692","0","11C"
"8446","華研","2,368","21","68","0","2,321","46","19.6","11,836","20","0","7","0","13","0","0.1","11,836","0",""
"8450","霹靂","462","9","5","0","466","17","3.88","11,989","0","0","0","0","0","0","0.0","11,989","0",""
"8462","柏文","552","2","0","0","554","7","4.61","11,995","1","0","0","0","1","0","0.0","11,995","0",""
"8476","台境","1,294","10","10","0","1,294","172","13.28","9,741","8","1","0","0","9","9","0.09","9,741","0",""
"8489","三貝德","4,053","326","261","0","4,118","876","54.87","7,504","191","28","7","0","212","12","2.82","7,504","3",""
"8905","裕國","1,413","8","0","0","1,421","108","4.75","29,860","0","0","0","0","0","0","0.0","29,860","0",""
"8906","花王","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0","OX"
"8908","欣雄","20","0","0","0","20","0","0.05","38,350","0","0","0","0","0","0","0.0","38,350","0","11C"
"8913","全銓","812","76","6","0","882","35","47.7","1,849","14","1","2","0","13","0","0.7","1,849","0",""
"8916","光隆","1,579","3","7","0","1,575","24","5.76","27,342","1","0","0","0","1","0","0.0","27,342","0",""
"8917","欣泰","420","0","0","0","420","0","1.37","30,550","0","0","0","0","0","0","0.0","30,550","0","11BC"
"8923","時報","6","0","0","0","6","0","0.07","7,593","0","0","0","0","0","0","0.0","7,593","0","11BC"
"8924","大田","7,367","131","110","0","7,388","319","24.37","30,315","281","3","1","0","283","0","0.93","30,315","0",""
"8927","北基","1,382","5","0","0","1,387","0","4.2","32,958","0","0","0","0","0","0","0.0","32,958","0",""
"8928","鉅明","1,232","7","3","0","1,236","47","9.72","12,713","0","0","0","0","0","0","0.0","12,713","0",""
"8929","富堡","2,462","0","3","0","2,459","31","23.03","10,675","1","0","0","0","1","0","0.0","10,675","0",""
"8930","青鋼","3,223","9","21","0","3,211","148","19.05","16,855","0","0","0","0","0","0","0.0","16,855","0",""
"8931","大汽電","2,194","12","0","0","2,206","11","7.57","29,108","0","0","0","0","0","0","0.0","29,108","0",""
"8933","愛地雅","16,839","59","106","0","16,792","118","37.65","44,594","292","1","0","0","293","0","0.65","44,594","0",""
"8935","邦泰","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0","OX"
"8936","國統","13,969","97","26","0","14,040","547","24.86","56,459","25","0","1","0","24","0","0.04","56,459","4",""
"8937","合騏","1,633","5","0","0","1,638","39","9.04","18,119","0","0","0","0","0","0","0.0","18,119","0",""
"8938","明安","3,715","75","115","0","3,675","11","10.86","33,828","88","21","17","0","92","2","0.27","33,828","1",""
"8941","關中","1,243","0","2","0","1,241","13","40.44","3,068","0","0","0","0","0","0","0.0","3,068","0","11B"
"8942","森鉅","8,060","597","384","0","8,273","328","19.95","41,460","70","29","4","0","95","7","0.22","41,460","5",""
"9949","琉園","2,747","5","3","0","2,749","0","23.37","11,758","0","0","0","0","0","0","0.0","11,758","0","11C"
"9950","萬國通","1,829","50","2","0","1,877","42","7.52","24,929","0","0","0","0","0","0","0.0","24,929","0","11C"
"9951","皇田","818","7","4","1","820","25","4.37","18,725","35","2","0","0","37","0","0.19","18,725","0",""
"9960","邁達康","5,021","5","8","0","5,018","572","59.75","8,398","1","0","0","0","1","0","0.01","8,398","0",""
"9962","有益","1,656","4","11","0","1,649","0","7.31","22,555","0","0","0","0","0","0","0.0","22,555","0",""