"股票代號","股票名稱","資買進","資賣出","資現償","資前餘額","資今餘","資限額","券買進","券賣出","券現償","券前餘","券今餘","券限額","資券互抵","註記",
"1446","宏和","1","0","0","3,251","3,252","34,427","0","8","0","7","15","34,427","0","",
"1447","力鵬","328","260","0","13,040","13,108","228,621","0","0","0","8","8","228,621","6","",
"1449","佳和","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1451","年興","2","53","0","951","900","49,500","0","0","0","0","0","49,500","0","",
"1452","宏益","0","6","0","4,731","4,725","33,160","13","0","0","133","120","33,160","0","",
"1453","大將","233","119","0","2,579","2,693","22,418","3","0","0","7","4","22,418","1","",
"1454","台富","0","1","0","3,888","3,887","35,077","0","0","0","0","0","35,077","0","",
"1455","集盛","84","154","66","25,588","25,452","152,940","60","1","0","581","522","152,940","0","",
"1456","怡華","0","0","0","761","761","23,430","0","0","0","0","0","23,430","0","",
"1457","宜進","105","287","0","10,664","10,482","75,411","1","2","0","475","476","75,411","0","",
"1459","聯發","45","16","0","5,370","5,399","89,657","0","0","0","0","0","89,657","0","",
"1460","宏遠","14","7","0","4,670","4,677","122,509","0","0","0","3","3","122,509","0","",
"1463","強盛","35","20","0","4,378","4,393","43,317","0","0","0","40","40","43,317","0","",
"1464","得力","21","36","0","6,048","6,033","83,641","0","1","0","14","15","83,641","0","",
"1465","偉全","3","1","0","7,753","7,755","25,901","0","0","0","0","0","25,901","0","",
"1466","聚隆","0","0","0","569","569","27,789","0","0","0","1","1","27,789","0","",
"1467","南緯","199","1,467","1","7,468","6,199","42,052","0","46","0","0","46","42,052","2","",
"1468","昶和","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1470","大統染","0","0","0","3","3","21,441","0","0","0","0","0","21,441","0","",
"1471","首利","0","0","0","7","7","0","0","0","0","0","0","0","0","OX",
"1472","三洋紡","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1473","台南","0","0","0","400","400","36,788","0","0","0","0","0","36,788","0","",
"1474","弘裕","0","25","1","3,856","3,830","32,474","0","0","0","0","0","32,474","1","",
"1475","本盟","0","0","0","274","274","0","0","0","0","0","0","0","0","OX",
"1476","儒鴻","84","40","0","3,923","3,967","68,591","5","0","0","120","115","68,591","3","",
"1477","聚陽","177","79","0","2,224","2,322","52,346","0","0","0","13","13","52,346","3","",
"1503","士電","6","5","0","347","348","130,243","0","0","0","0","0","130,243","0","",
"1504","東元","31","176","0","9,102","8,957","500,673","0","0","0","19","19","500,673","1","",
"1506","正道","136","80","0","22,758","22,814","23,126","9","7","0","23","21","23,126","0","@",
"1507","永大","7","21","0","643","629","102,705","0","0","0","1","1","102,705","0","",
"1512","瑞利","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1513","中興電","130","142","200","10,248","10,036","105,000","0","0","0","1","1","105,000","0","",
"1514","亞力","714","1,559","0","10,837","9,992","50,266","301","713","0","594","1,006","50,266","43","",
"1515","力山","76","66","0","13,733","13,743","45,368","40","10","0","880","850","45,368","2","",
"1516","川飛","8","10","30","5,218","5,186","6,620","0","0","0","2","2","6,620","0","",
"1517","利奇","3","15","0","3,372","3,360","56,956","0","0","0","0","0","56,956","0","",
"1519","華城","893","1,240","40","8,712","8,325","65,264","467","351","2","999","881","65,264","101","",
"1521","大億","0","0","0","274","274","19,057","0","0","0","0","0","19,057","0","",
"1522","堤維西","13","14","0","9,633","9,632","78,224","2","8","0","41","47","78,224","0","",
"1524","耿鼎","30","1","0","6,276","6,305","44,921","0","0","0","1","1","44,921","0","",
"1525","江申","15","15","0","615","615","18,350","0","0","0","0","0","18,350","0","",
"1526","日馳","27","13","0","3,575","3,589","12,500","3","1","0","70","68","12,500","0","",
"1527","鑽全","209","78","0","2,673","2,804","34,490","0","0","0","121","121","34,490","2","",
"1528","恩德","895","596","0","13,284","13,583","45,000","0","4","0","31","35","45,000","27","",
"1529","樂士","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1530","亞崴","0","6","0","979","973","24,148","0","0","0","0","0","24,148","0","",
"1531","高林股","19","41","12","5,344","5,310","48,287","0","0","0","11","11","48,287","0","",
"1532","勤美","216","76","0","6,005","6,145","96,313","0","1","0","0","1","96,313","8","",
"1533","車王電","14","7","0","1,764","1,771","24,636","0","0","0","0","0","24,636","0","",
"1535","中宇","1","2","0","321","320","30,935","0","0","0","0","0","30,935","0","",
"1536","和大","133","106","0","7,341","7,368","63,739","21","54","0","224","257","63,739","0","",
"1537","廣隆","4","0","0","632","636","20,446","0","0","0","2","2","20,446","0","",
"1538","正峰新","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1539","巨庭","2","10","10","2,667","2,649","16,342","0","0","0","3","3","16,342","0","",
"1540","喬福","2","0","0","978","980","21,368","0","0","0","0","0","21,368","0","",
"1541","錩泰","3","3","1","894","893","19,700","1","0","0","1","0","19,700","0","",
"1558","伸興","0","2","0","588","586","15,138","0","0","0","0","0","15,138","0","",
"1560","中砂","99","84","0","3,191","3,206","35,250","2","3","0","56","57","35,250","0","",
"1568","倉佑","70","35","1","4,828","4,862","25,771","0","3","0","15","18","25,771","0","",
"1582","信錦","8","8","0","1,496","1,496","41,241","0","3","0","2","5","41,241","0","",
"1583","程泰","3","5","0","456","454","27,600","0","0","0","0","0","27,600","0","",
"1589","永冠-KY","380","606","2","8,387","8,159","27,904","201","139","0","537","475","27,904","23","",
"1590","亞德客-KY","56","16","0","675","715","47,256","5","12","0","46","53","47,256","0","",
"1592","英瑞-KY","1","3","0","2,661","2,659","25,108","0","0","0","0","0","25,108","0","",
"1598","岱宇","6","5","7","3,348","3,342","23,237","0","0","0","39","39","23,237","0","",
"1603","華電","3","1","0","2,511","2,513","47,922","0","0","0","0","0","47,922","0","",
"1604","聲寶","0","5","0","5,201","5,196","124,750","0","0","0","25","25","124,750","0","",
"1605","華新","1,965","1,526","5","29,983","30,417","841,500","157","56","0","847","746","841,500","42","",
"1608","華榮","211","365","10","13,439","13,275","158,193","4","69","0","70","135","158,193","1","",
"1609","大亞","3,492","3,090","678","44,715","44,439","143,045","1,447","1,012","5","4,378","3,938","143,045","227","",
"1611","中電","92","299","0","8,638","8,431","99,609","7","0","0","55","48","99,609","3","",
"1612","宏泰","3","35","0","6,498","6,466","79,020","0","0","0","0","0","79,020","1","",
"1614","三洋電","0","1","0","406","405","67,278","0","0","0","0","0","67,278","0","",
"1615","大山","174","476","0","2,414","2,112","27,965","185","48","0","252","115","27,965","12","",
"1616","億泰","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1617","榮星","0","31","0","1,232","1,201","36,058","0","0","0","0","0","36,058","0","",
"1618","合機","168","135","0","14,236","14,269","60,216","0","0","0","20","20","60,216","0","",
"1626","艾美特-KY","14","5","0","2,293","2,302","30,710","0","0","0","0","0","30,710","0","",
"1701","中化","1,061","268","0","4,500","5,293","74,520","0","1","0","3","4","74,520","14","",
"1702","南僑","1","7","0","1,734","1,728","73,533","0","0","0","14","14","73,533","0","",
"1704","榮化","21","3","30","6,716","6,704","213,858","0","0","0","2","2","213,858","0","",
"1707","葡萄王","43","37","1","1,198","1,203","33,896","8","4","0","82","78","33,896","0","",
"1708","東鹼","2","11","0","3,051","3,042","50,361","0","0","0","0","0","50,361","0","",
"1709","和益","5","33","0","3,782","3,754","123,034","0","0","0","0","0","123,034","0","",
"1710","東聯","157","207","0","12,742","12,692","221,425","88","1","0","839","752","221,425","0","",
"1711","永光","23","24","25","6,735","6,709","136,938","2","0","0","7","5","136,938","0","",
"1712","興農","5","35","0","2,693","2,663","104,314","1","2","0","39","40","104,314","2","",
"1713","國化","1","83","0","5,219","5,137","37,737","0","0","0","0","0","37,737","0","",
"1714","和桐","61","127","0","16,915","16,849","254,206","0","0","0","7","7","254,206","0","",
"1717","長興","9","18","0","1,013","1,004","289,784","0","1","0","5","6","289,784","0","",
"1718","中纖","452","369","5","33,683","33,761","357,373","2","0","0","112","110","357,373","12","",
"1720","生達","857","338","0","3,974","4,493","44,674","10","12","0","40","42","44,674","12","",
"1721","三晃","2","11","74","6,210","6,127","49,949","0","0","0","5","5","49,949","0","",
"1722","台肥","80","70","0","8,481","8,491","245,000","0","0","0","5","5","245,000","0","",
"1723","中碳","24","31","0","1,509","1,502","59,226","0","0","0","28","28","59,226","0","",
"1724","台硝","0","10","0","741","731","31,953","0","0","0","0","0","31,953","0","",
"1725","元禎","1","3","0","409","407","45,457","0","0","0","0","0","45,457","0","",
"1726","永記","0","23","0","373","350","40,500","0","0","0","0","0","40,500","0","",
"1727","中華化","3","0","0","864","867","27,562","0","0","0","0","0","27,562","0","",
"1730","花仙子","1","0","0","144","145","14,674","0","0","0","0","0","14,674","0","",
"1731","美吾華","39","12","0","3,306","3,333","33,228","0","0","0","1","1","33,228","0","",
"1732","毛寶","0","0","0","341","341","0","0","0","0","0","0","0","0","OX",
"1733","五鼎","62","17","0","2,257","2,302","24,931","0","0","0","7","7","24,931","0","",
"1734","杏輝","74","21","0","2,562","2,615","41,930","0","0","0","4","4","41,930","0","",
"1735","日勝化","63","140","0","699","622","24,847","0","0","0","0","0","24,847","0","",
"1736","喬山","3","2","0","1,548","1,549","76,004","0","0","0","0","0","76,004","0","",
"1737","臺鹽","12","57","0","1,044","999","50,000","0","0","0","3","3","50,000","0","",
"1762","中化生","32","19","0","1,838","1,851","19,390","0","0","0","1","1","19,390","0","",
"1773","勝一","1","0","0","516","517","37,500","0","0","0","0","0","37,500","0","",
"1776","展宇","0","0","0","83","83","17,390","0","0","0","0","0","17,390","0","",
"1783","和康生","408","423","1","4,927","4,911","17,711","13","63","0","99","149","17,711","18","",
"1786","科妍","133","116","0","4,822","4,839","13,275","64","63","0","450","449","13,275","17","",
"1789","神隆","40","53","1","7,270","7,256","197,684","1","0","0","2","1","197,684","0","",
"1802","台玻","429","152","0","10,617","10,894","727,015","2","3","0","170","171","727,015","6","",
"1805","寶徠","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1806","冠軍","32","4","0","5,782","5,810","109,333","0","0","0","0","0","109,333","1","",
